anvisningsenhedsNavn,geoBredde,geoLaengde
Den Private Børnehave Højvang,56.23123758,10.29977301
Børnegården Solbjerg,56.03617384,10.10617649
Integreret institution Kareten,56.10759291,10.19080095
Rudolf Steiner / Markblomsten,56.17427823,10.11085818
Selam Fri Børnehave,56.10959517,10.10956296
Rudolf Steiner - Solhjem,56.13669202,10.2071751
Aarhus International School,56.1083627,10.18843698
Børnehuset Blæksprutten,56.11991863,10.17570194
Børnehaven Næshøj,56.1420981,9.9986436
Børnehuset Pilehaven,56.14274544,9.98684934
"Regnbuen, Harlev",56.14524187,9.9937599
Kompasset,56.14303469,9.98607103
Børnehuset 27-29 (1),56.14183873,10.18369592
Naturbørnehaven Giberhytten,56.14447329,10.18303651
Naturbørnehaven Projekt Mariendal,56.14419823,10.18361055
Langenæsstien 6B,56.14447329,10.18303651
Langenæsstien 8B,56.14401796,10.18259037
Langenæsstien 6A,56.14419823,10.18361055
Naturbørnehaven Søndervang,56.11126075,10.14948869
Naturbørnehaven Ajstrup (Aarhus),56.14637661,10.18835438
Naturbhv. Ajstrup,56.0396197,10.23812996
Frederiksbjerg Børnehus,56.14587332,10.19821836
Børnehuset Jægergårdsgade,56.1476432,10.20093872
Børnehaven Guldbryllupsasylet,56.14606428,10.20067926
Langenæsen,56.142192,10.18105218
DII Børnegården Sct. Anna,56.14640292,10.1981909
Børnehuset Jorden Rundt,56.1186626,10.17502523
Elverhøj,56.11062342,10.17520045
Holmetræet,56.11270108,10.18392797
Kløverhulen,56.10984947,10.17390857
Børnehuset Tulshøjvej 5,56.1130109,10.17264379
Flyverhøjen,56.11062308,10.17617946
Holme Børnehus,56.10730091,10.16834667
Børnehuset Eghovedvej,56.04259835,10.19762941
Børnehuset Grønnebakken,56.06095157,10.21918444
Børnehuset Østerskov,56.04246483,10.20534268
"Børnehuset Smilehullet, Beder",56.06128559,10.21610501
Børnehuset Amaliegården,56.05535346,10.20501018
Børnehuset Ajstrupvej,56.0383605,10.20005734
Børnehuset Tværgade,56.03779429,10.19683167
Børnehuset Himmelblå (304),56.05452845,10.20483977
Satellitten Serinedalen,56.05359609,10.21287654
Molevitten,56.04278107,10.20550777
Mårslet Skovbørnehus,56.0685039,10.15471644
Solhuset,56.06760254,10.16553119
Kærgården,56.03987058,10.08654688
Børnehuset Bøgevangen,56.04124621,10.0889993
"Valhalla, Mårslet",56.0632478,10.16559638
Børnehuset Mirabellen,56.07044629,10.16459804
"Spiren, Solbjerg",56.03928847,10.08836535
Græsbakken,56.06794124,10.16582252
Hasselhuset,56.04291516,10.08350938
Fuglbjerggård,56.04535459,10.08741157
Børnehuset Nymarken,56.06180615,10.15653299
Børnehaven Mosegården,56.11683316,10.1966454
Børnehuset Valnødden,56.06805829,10.16293962
Galaksen,56.21181956,10.03837817
DII Evigglad,56.21259307,10.03506845
Tryllefløjten,56.21179793,10.03881485
DII Sommerfuglen,56.20809261,10.04588295
Humlebien,56.21266593,10.03441547
Børnehaven Enggården,56.15012105,10.12428075
Kometen,56.14886969,10.13828276
Børnehuset Klods Hans,56.14837674,10.13814842
Børnehuset Nattergalen,56.14878866,10.13732468
Solskin,56.15063339,10.08985675
Børnesnak,56.1489114,10.13916852
Søstjernen,56.15087167,10.0894303
Børnehuset Safiren,56.16109965,10.09386865
Børnehuset Stranden-Væksthuset,56.15673867,10.13265765
Natur og Miljøbørnehuset Viben,56.15715057,10.1313418
Børnehuset Skoven - Væksthuset,56.15699886,10.1334246
Unimukken,56.15715057,10.1313418
Børnehuset Engen - Væksthuset,56.15701667,10.13272685
Børnehuset Bækken - Væksthuset,56.15667717,10.13330806
Børnehaven Åby,56.14893419,10.16224422
"Solsikken, Åbyhøj",56.14870085,10.15886582
Perlen,56.1525327,10.16369306
"Hobbitten, Åbyhøj",56.14619957,10.16304584
"Børnehuset Tusindfryd, Åbyhøj",56.15593741,10.13771893
Børnehaven Silkeborgen,56.15400577,10.14644605
Børnehaven Hans Broges Vej,56.15589226,10.11556519
Børnehuset Liv,56.2674979,10.3108986
Børnehaven Myrhøjen,56.26702199,10.31086924
Børnehuset Kloden,56.26765322,10.31247139
Børnehaven Bakkehuset,56.26250293,10.29930514
Engskovgård,56.25999025,10.30795489
Stationsvangen,56.26195089,10.30510181
Junibakken,56.26457267,10.30231111
Væksthuset,56.26777986,10.311425119999999
Børnehuset Næringen,56.19173701,10.19885721
Børnehuset ved skoven,56.20056428,10.20634076
Flintebakken,56.20630499,10.21057742
DII Ellevang,56.20221468,10.21718444
Tornebakken,56.20247384,10.21229743
Hasselhaven,56.24065833,10.23760226
DII Børneuniverset,56.23844069,10.22858192
"Hurlumhejhuset, Lystrup",56.23325849,10.22227254
Børnehuset Lyset,56.24154537,10.24651736
Ørnereden,56.24065824,10.22542268
Børnehuset Godthåb,56.2441215,10.23181873
Elsted Børnehus,56.2438199,10.23187763
Børnehaven Lystruplund (1),56.22905538,10.23293219
Blomsterhaven,56.24052203,10.23685562
DII Bakketoppen,56.25292402,10.15025628
Børnehuset Mimershøj,56.21892772,10.15881639
Børnehuset Gimlehøj,56.21892772,10.15881639
Idrætsinst. Spørring Børnehus,56.29857049,10.14593405
Børnehuset Rønnebo,56.22244263,10.16758994
DII Idrætsinst Tumlehøjen,56.25246081,10.1476016
Løgtengården,56.27815375,10.31902001
Børnehaven Kernehuset,56.25318072,10.2650274
Børnehaven Jasminvej,56.19457021,10.23868657
Damhuset,56.18618978,10.22603887
Børnehuset Alsvej,56.19300116,10.2229986
Risskov Børnehus,56.18958726,10.2138217
Under bøgen,56.18765864,10.23481902
Gadekæret,56.19415058,10.21532455
Idrætsbørnehuset Hoppeland,56.18904395,10.21379036
DII Drivhuset,56.18012504,10.18094312
Kløverparken,56.17295893,10.19870669
Børnehuset Malmøgade,56.18021248,10.19661401
Børnehaven Thorshavnsgade (1),56.17638192,10.18383536
Idrætsinst. Motalagade,56.17939718,10.19683239
"DII Haven, Aarhus N",56.18012504,10.18094312
Ovenpå,56.16777684,10.17552307
"Børnehuset Haven, Aarhus C",56.16300371,10.19353249
Børnehuset Frydenlund,56.16779471,10.17600596
Børnehuset Deruda',56.17007333,10.17827826
Væksthuset 8210,56.17223786,10.1750747
Børnehuset Vesterbo,56.16566951,10.19150263
Ellengårdens Børnehus,56.18441137,10.20742696
Riisvangen,56.18142876,10.21425083
Børnehaven Dr. Alexandrines,56.16265828,10.18131996
Børnehaven Frk. Ellen Gade,56.19123763,10.24171952
Børnehaven Lauge Kochs Vej,56.17730084,10.21507513
Skt. Johannes børnehave,56.17074181,10.21091789
Paletten,56.1319015,10.11554321
Børnehøjen,56.12961129,10.11641908
DII Vestermarken,56.12821019,10.11160476
Søskrænten,56.13423739,10.124498000000001
Motorikinst. Snurretoppen,56.13713796,10.11679557
Klokkeskoven,56.13186399,10.11472154
Kælkebakken,56.13212868,10.11326807
Egmontgården,56.11572426,10.15982353
Børnely - Udvidet,56.15149386,10.18774501
Børnely,56.15149386,10.18774501
"Børnehuset Smilehullet, Tranbj",56.09135403,10.1402162
Børnesymfonien,56.08935659,10.14929268
Børnehuset Klatretræet,56.08949609,10.14290966
"Solsikken, Tranbjerg",56.09419705,10.13836423
Eventyrskoven,56.09056849,10.12248988
Børnehuset Ællebælle,56.09449555,10.1386373
Legehuset Regnbuen,56.09478832,10.12975178
Børnehuset Hoppeloppen,56.0939443,10.13800314
DII Børnegården Rundhøj,56.11999223,10.18183172
Skovslottet,56.12502283,10.20180032
Børnehaven Stenhøjgård,56.03755587,10.19686233
Æsken,56.19231208,10.10430275
Det Blå Hus,56.18917698,10.10873457
"Børnehuset Mælkevejen, Tilst",56.1922621,10.10386202
Søhøjen,56.19452168,10.10187226
Snurretoppen,56.18893482,10.10858594
"Spiloppen, Tilst",56.19228428,10.09986013
"Valhalla, Tilst",56.18822008,10.10572099
Satellitten Tåstumvænget,56.16916915,10.11445423
Børnehuset Bulderby,56.17542862,10.12868491
Mariehønen,56.17353192,10.12334606
Legehuset,56.17436057,10.12411523
Venøvej 9,56.17573292,10.11345946
Børnehuset Jernurten,56.17504446,10.12942765
"Regnbuen, Brabrand",56.17393257,10.12375239
Baobab,56.17454039,10.13687687
Venøvej,56.17566269,10.11277686
Bevægelsesbørnehuset,56.15917959,10.1414909
"DII Tumlehøjen, Ellehøj",56.16950461,10.15206729
Idrætsbørnehuset v/Globus1,56.15866352,10.14172014
Junglen,56.16490488,10.13917588
Idrætsinst. Ellekær,56.16989019,10.15146729
Børnehuset Fusijama,56.16559028,10.134505709999999
Idrætsinst. Myretuen,56.16604649,10.15606164
Børnehaven Solnæs,56.16352603,10.16991425
Børnehaven Gammelgården,56.1651948,10.16112892
Børnehuset Klokkervej,56.16142761,10.15850233
Børnehuset Ryhaven,56.16359763,10.14838639
Børnehuset Digterparken,56.16018528,10.14525534
Børnehuset Børneliv,56.16062609,10.15544218
Skovgårdsparkens Børnehave,56.15377423,10.12667849
Delfinhuset,56.2296818,10.29518341
Skærgården,56.23704371,10.30347292
Gl. Egå Børnehus,56.21649499,10.26704584
DII Børnenes have,56.20696996,10.2714655
Børnehaven Labyrinten,56.20261496,10.26723712
Studsen,56.24566125,10.27322168
Annekæret,56.22827375,10.29792958
Stenhøjen,56.23499153,10.30252491
Skæringhus,56.23176719,10.29896837
Børnehuset Løvstikken,56.23285649,10.20825244
Krokodillehaven,56.24109677,10.19668175
Todbjerg Børnehus,56.26944167,10.21093062
Børnegården Bifrost,56.25061154,10.26891311
Møllehuset,56.23547167,10.21834691
"Solsikken, Hjortshøj",56.24558227,10.2717271
Hårup Børnegård,56.28696493,10.21440572
"Spiren, Hjortshøj",56.24570794,10.27392313
DII Lindegården,56.25639421,10.15555827
Børnehuset Ved Åen,56.20303241,10.25891571
Åtrolden,56.20597777,10.25954115
Julsøvej,56.20505097,10.25125997
"Kolbøtten, Aarhus C",56.16132432,10.2059377
Børnehuset Vores Sted,56.16280389,10.20421595
Børnehuset Villekulla,56.16376582,10.19973597
Skattekisten,56.16347024,10.21253081
VokseVærket,56.16382236,10.21373259
Nørrestenbro,56.16324055,10.21258799
Børnehuset Rydevænget,56.18276188,10.16726295
Idrætsinst. Rend og Hop,56.17979615,10.16446355
Børnehuset Himmelblå,56.17640538,10.17241618
Børnehuset Bakken,56.17095088,10.16342867
"Børnehuset Hobbitten, Hasle",56.17659075,10.15366728
Børnehaven Charlottehøj,56.17695327,10.17576033
Børnehuset Fjældevænget,56.17757473,10.16467917
Solen,56.17998642,10.16381878
Børnehuset Troldeskoven,56.18030655,10.20522065
Børneslottet Bavnehøj,56.17267346,10.21962405
Trøjborg Børnehus,56.1713369,10.21116807
Skuden Skram,56.17357961,10.21657237
Børnehaven Rytterparken,56.17353595,10.20819798
Børnehuset Trolle,56.17254453,10.21811911
Kongevellen 2D-2E,56.18499976,10.21097549
Chr. Sogns Menighedsbørnehave,56.17726302,10.19126265
Skovbørnehaven Skovtrolden,56.15879439,10.20645129
Børnehaven FADL,56.16801955,10.17551148
Skovkanten,56.13232053,10.15309053
Anemonen,56.12292627,10.13513973
2-Kløveren,56.12211363,10.12427297
Skovbørnehaven Grøftekanten,56.12237611,10.14169963
Grøften,56.12237611,10.14169963
DII Træhøjen,56.12264222,10.12777331
Børnehuset Luften,56.11126075,10.14948869
Børnehuset Vandet,56.11126075,10.14948869
Børnehuset Ilden,56.11126075,10.14948869
Børnehaven Bjørnbakhus,56.12852832,10.16652767
DII Rygården,56.11280771,10.19849262
Børnehuset Elmehøj,56.1028928,10.21771833
Børneslottet,56.11558181,10.20151711
Kræmmerhuset,56.11817924,10.19543373
Børnehuset Søsterhøj,56.10302101,10.217018
Børnehuset Stenvej,56.10731661,10.20321023
Bushøj,56.10783491,10.19145678
Stennehøj Allé,56.10759998,10.20225428
Kridthuset,56.11660901,10.19055077
Børnehuset Thunfisken,56.1614313,10.20556361
Arvepr. Carolines Børneasyl,56.16184646,10.20122295
Børnehuset Grundtvigsvej,56.12940771,10.16950452
Børnehuset Moltkesvej,56.12114306,10.14967078
Børnehuset Vilhelm Becks Vej,56.13138958,10.18547156
Østerbo vuggestue og børnehave,56.1282346,10.16955741
"DII Tumlehuset, Viby",56.1271771,10.19462078
"Hurlumhejhuset, Viby",56.12774021,10.17620296
DII Børnehuset Fredensvang,56.12731784,10.17715133
Børnehuset Vidtskue,56.12807776,10.17802626
Børnehuset Nordlys,56.1875674,10.20213518
Børnehuset På Toppen,56.19487373,10.19738256
Børnehuset Bonanza,56.1949617,10.19618366
Skibet,56.19807252,10.18946976
Huset På Bakken,56.18805673,10.19522261
Børnehaven Svend-Åge,56.18489019,10.22995394
"Spiloppen, Hasselager",56.10613745,10.07534474
Børnehuset Olympia,56.1101594,10.07780871
Labyrinten,56.11128359,10.07820598
Børnehuset Pilehytten,56.10623259,10.07628497
Bavnebakken,56.1101019,10.08284133
Troldehøjen,56.11070333,10.07828736
"Kolbøtten, Hasselager",56.10746254,10.09023429
Universet,56.11151937,10.09058924
Børnenes Ø,56.16471381,10.22773986
Idrætsbørnehaven Bellevue,56.19383276,10.24724238
